"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 18 09:39:54 IST 2021","Fri Jun 18 09:40:16 IST 2021","22528","","Search E2E validations ","","Search E2E validations ","Verify and search the pending place order for LIFE","Verify and search the pending place order for LIFE",""
"passed","Fri Jun 18 09:42:17 IST 2021","Fri Jun 18 09:42:22 IST 2021","5623",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the placeOrder life in expert application","Verify the placeOrder life in expert application",""
"passed","Fri Jun 18 09:41:52 IST 2021","Fri Jun 18 09:42:17 IST 2021","24836",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the place order for LIFE","Verify the place order for LIFE",""
"passed","Fri Jun 18 09:39:23 IST 2021","Fri Jun 18 09:39:54 IST 2021","30894","","Search E2E validations ","","Search E2E validations ","Verify and search the pending place order for LEGAL","Verify and search the pending place order for LEGAL",""
"passed","Fri Jun 18 09:40:21 IST 2021","Fri Jun 18 09:40:48 IST 2021","26769","","Admin user E2E validation ","","Admin user E2E validation ","Validate the Admin Profile section","Validate the Admin Profile section",""
"passed","Fri Jun 18 09:41:09 IST 2021","Fri Jun 18 09:41:46 IST 2021","36864",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the place order for LEGAL","Verify the place order for LEGAL",""
"passed","Fri Jun 18 09:39:03 IST 2021","Fri Jun 18 09:39:16 IST 2021","13274","","Carrier creation E2E validations ","","Carrier creation E2E validations ","Validate the new created carrier details are available in eXpert","Validate the new created carrier details are available in eXpert",""
"passed","Fri Jun 18 09:38:16 IST 2021","Fri Jun 18 09:39:03 IST 2021","46993","","Carrier creation E2E validations ","","Carrier creation E2E validations ","Create Carrier using mandatory fields","Create Carrier using mandatory fields",""
"passed","Fri Jun 18 09:40:48 IST 2021","Fri Jun 18 09:41:03 IST 2021","15262","","Admin user E2E validation ","","Admin user E2E validation ","Verify the ordering office in expert application","Verify the ordering office in expert application",""
"passed","Fri Jun 18 09:41:46 IST 2021","Fri Jun 18 09:41:52 IST 2021","6092",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the placeOrder legal in expert application","Verify the placeOrder legal in expert application",""
