"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 18 09:58:52 IST 2021","Fri Jun 18 09:59:31 IST 2021","38920","","Admin user E2E validation ","","Admin user E2E validation ","Validate the Admin Profile section","Validate the Admin Profile section",""
"passed","Fri Jun 18 09:56:19 IST 2021","Fri Jun 18 09:56:45 IST 2021","26246","","Carrier creation E2E validations ","","Carrier creation E2E validations ","Validate the new created carrier details are available in eXpert","Validate the new created carrier details are available in eXpert",""
"passed","Fri Jun 18 09:57:59 IST 2021","Fri Jun 18 09:58:47 IST 2021","48010","","Search E2E validations ","","Search E2E validations ","Verify and search the pending place order for LIFE","Verify and search the pending place order for LIFE",""
"passed","Fri Jun 18 09:55:26 IST 2021","Fri Jun 18 09:56:19 IST 2021","52309","","Carrier creation E2E validations ","","Carrier creation E2E validations ","Create Carrier using mandatory fields","Create Carrier using mandatory fields",""
"passed","Fri Jun 18 10:01:13 IST 2021","Fri Jun 18 10:02:11 IST 2021","57387",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the place order for LIFE","Verify the place order for LIFE",""
"passed","Fri Jun 18 09:56:51 IST 2021","Fri Jun 18 09:57:59 IST 2021","67680","","Search E2E validations ","","Search E2E validations ","Verify and search the pending place order for LEGAL","Verify and search the pending place order for LEGAL",""
"passed","Fri Jun 18 10:00:57 IST 2021","Fri Jun 18 10:01:13 IST 2021","16244",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the placeOrder legal in expert application","Verify the placeOrder legal in expert application",""
"passed","Fri Jun 18 09:59:31 IST 2021","Fri Jun 18 09:59:55 IST 2021","23645","","Admin user E2E validation ","","Admin user E2E validation ","Verify the ordering office in expert application","Verify the ordering office in expert application",""
"passed","Fri Jun 18 10:02:11 IST 2021","Fri Jun 18 10:02:25 IST 2021","14430",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the placeOrder life in expert application","Verify the placeOrder life in expert application",""
"passed","Fri Jun 18 10:00:01 IST 2021","Fri Jun 18 10:00:57 IST 2021","55999",""," PlaceOrder E2E validation ",""," PlaceOrder E2E validation ","Verify the place order for LEGAL","Verify the place order for LEGAL",""
